PAK/Serial Nbr;Hostname;IP Address
FDO1949E2CM;FR-FON-BAN-SA7D;10.210.228.27
FOC2222U0LZ;ID-BBD-3AF-CSW01;10.48.203.129
FOC2222U00L;ID-BBD-3AF-CSW01;10.48.203.129
FGL2529L881;HK-VTS-20F-VG01;10.40.203.113
FGL2529L87R;HK-VTS-15F-VG01;10.40.203.112
FXS1833Q180;ABS-PUN-ME-FLR01-AccessSW02;10.90.87.3
JMX1919414L;DE-MU2-AST-ASA1.noc.intraxa;10.146.83.22
FOC1952X0UZ;HK-ASD-20F-ASW02;10.40.203.169
FDO2228E05B;FR-BAS-AFA-SA01;10.210.248.186
WZP231403XC;NUCSA4-A;10.54.236.10
FCW2346A3MA;MA-TC3-AFA-SC41;10.110.241.130
FOX1831H4MS;MEDC2-SWF-255;10.66.254.189
FDO1952E1TL;FR-LYO-AFA-SA51;10.210.225.232
FDO1947Q0VR;FR-LYO-AFA-SA11;10.210.225.236
FDO1952Q0VD;FR-FON-BAN-SA7D;10.210.228.27
FDO2005Q0TN;FR-TE8-AFA-SASS;10.210.219.130
FDO23191AP2;AMER2ILF01;10.179.2.42
FDO23191LS6;AMER2ILF02;10.179.2.43
FDO23200CU5;AMER2PLF02;10.179.2.33
FDO23200CTC;AMER2PLF01;10.179.2.32
FOC2351V01Z;MA-TC3-AFA-SC42;10.110.241.131
FDO1937P071;FR-ARL-AFA-SA01;10.210.233.194
SMC12510009;SE302-TM-SAP-02;10.228.62.124
SAL1318PDYL;MA-TC1-AFA-VC01;10.110.242.1
FGL213282L0;SE212-GW-VPN-01;10.106.192.83
FGL213282KZ;SE302-GW-VPN-01;10.106.192.82
JMX2201G0U7;FR-POI-AFA-ASA1.noc.intraxa;10.212.95.146
WZP231403XG;NUCSB4-A;10.54.239.10
FCW2334G0VQ;MY-PCH-13AF-ASW01;10.35.144.39
FCW2334G0VR;MY-PCH-13AF-ASW01;10.35.144.39
FDO1949E2AL;FR-FON-AFA-SA5B;10.210.228.23
FOC2013U0FY;HK-VTS-12F-DSW01;10.40.203.99
JMX2030L050;SEASA-SS-VPB-PP.noc.intraxa;10.106.192.56
FDO2120Q1P2;FR-FON-AFA-SW5B;10.210.228.34
FDO2120V1NE;FR-FON-BAN-SW8B;10.210.228.48
FOC2004U0D2;SG-ATW-27F-DSW01;10.52.150.42
FDO1952E1UE;FR-FON-AFA-SA2B;10.210.228.18
FDO1952E1W9;FR-FON-AFA-SA3D;10.210.228.19
FDO2120Q1P7;FR-FON-AFA-SW4D;10.210.228.33
FOC2130L0E3;HK-ASD-11F-DSW01;10.40.203.140
FGE22314TG8;HK-NDR-GF-CSW02.axa.com;10.40.202.41
FDO2250F17Z;SWZ80-T061;10.171.183.110
FDO2250F16V;SWZ80-T021-RS;10.171.183.40
FOC2347R289;MEDC2-SWF-268;10.66.254.195
FDO1952Q0XX;FR-LYO-AFA-SA41;10.210.225.233
FCW2029D17K;MEDC1-SWD-1;10.66.255.246
FCW2228A421;FR-NAN-AFA-SCU1;10.210.226.97
FDO2250F16A;SWZ80-T012;10.171.183.20
FDO2250F176;SWZ30-T012;10.171.71.20
FDO2250F1A5;SWZ10-T022;10.171.7.20
FDO2250F14G;SWZ30-T011;10.171.71.10
FDO2250F14T;SWZ10-T011;10.171.7.50
SMC1403001B;SE212-TO-SDM-ADM-01;10.106.194.139
FDO2120V1NK;FR-FON-AFA-SW0B;10.210.228.4
FCW2222E147;FR-JAV-GIE-SA5C;10.232.200.149
FCW2222L18B;FR-JAV-GIE-SA5C;10.232.200.149
FCW2222G19E;FR-JAV-GIE-SA5C;10.232.200.149
FCW2222L18H;FR-JAV-GIE-SA5C;10.232.200.149
FOC2222Z11Z;FR-JAV-GIE-SA5B;10.232.200.148
FCW2222G1BV;FR-JAV-GIE-SA5B;10.232.200.148
FOC2222Q159;FR-JAV-GIE-SA5A;10.232.200.147
FCW2222G18J;FR-JAV-GIE-SA5A;10.232.200.147
FCW2222E14E;FR-JAV-GIE-SA5A;10.232.200.147
FCW2222E15K;FR-JAV-GIE-SA5B;10.232.200.148
FDO2250F173;SWZ30-T012;10.171.71.20
FDO2250F17Y;SWLEI-T011;10.173.34.2
FDO2120V1NC;FR-FON-BAN-SW7B;10.210.228.38
FOC2249Y401;SWHOL-TSWI-06;10.70.253.175
FOC1929S7YE;FR-CH1-AST-SV11;10.146.75.251
FOC1929S7VP;FR-CH1-AST-SV71;10.146.75.252
FDO1952E1Y8;MA-TC1-AFA-SA34;10.110.242.30
FDO2032E0SJ;FR-VDC-SOG-SA12;10.210.219.181
FOC2037X1S6;SG-ATW-26F-ASW01;10.52.150.49
FDO22060QJ1;NUCSB5-B;10.54.227.144
FDO220426EE;NUCSB5-A;10.54.227.143
SAL1826VMAA;ABS-BEN-MFAR-CORE_SW;10.90.50.65
FDO1949E2BZ;FR-LYO-AFA-SA41;10.210.225.233
FOC2037U1LG;SG-ATW-23F-ASW01;10.52.150.45
FOC2037X028;SG-ATW-26F-DSW01;10.52.150.41
JMX1225Z1FT;FR-FON-AFA-ASA1.noc.intraxa;10.210.104.10
FOC2122L0FY;ABS-PUN-SUZLON-WING_A_ACC02;10.93.136.5
FCW2122F0D5;ABS-PUN-SUZLON-WING_B_ACC02;10.93.136.6
FCW2224D0ZD;ID-JST-3F-CSW01;10.48.203.1
FCW2228A4XD;FR-NAN-AFA-SCU2;10.210.225.131
FDO2228E061;FR-OLI-AFA-SA01;10.210.248.190
FDO2250F1A9;SWZ10-T021;10.171.7.30
FDO2250F17X;SWZ10-T012;10.171.7.60
FDO2250F149;SWZ10-T021;10.171.7.30
FDO2250F15F;SWZ10-T011;10.171.7.50
FDO2250F1A6;SWZ80-T051;10.171.183.100
FOC2117U278;FR-CSM-MSC-SA01;10.210.224.138
FOX2121P06W;NUCSA4-A;10.54.236.10
FCH21247X6D;NUCSA4-A;10.54.236.10
FCH21247WDX;NUCSA4-A;10.54.236.10
FXS1802Q5N1;FR-MLY-AFA-VC01;10.210.234.1
FCW2005D0QD;HK-ASD-20F-ASW02;10.40.203.169
FOC2127L53L;HK-ASD-10F-DSW01;10.40.203.139
FCW2130C0RJ;HK-ASD-09F-DSW01;10.40.203.138
FCW2129D0SR;HK-ASD-11F-DSW01;10.40.203.140
FGE22314TGX;HK-NDR-GF-CSW01.AXA.com;10.40.202.40
FOC2347R294;MEDC2-SWF-267;10.66.254.194
FOC2347R28K;MEDC1-SWF-167;10.66.254.184
FDO1952E1TR;MA-TC1-AFA-SA43;10.110.242.32
FDO1949E2AF;FR-FON-AFA-SA3B;10.210.228.20
FDO1952Q0WP;FR-FON-AFA-SA3B;10.210.228.20
FDO1952Q0WL;MA-TC1-AFA-SA34;10.110.242.30
FDO1952E1Y7;MA-TC1-AFA-SA02;10.110.242.14
FOC2037X02A;SG-ATW-28F-ASW01;10.52.150.53
FCW1931C0HU;NEDC1E20-ERNA1;10.70.237.1
FCW1931C1EK;NEDC2-ERNA1;10.70.237.3
FOC1931X1D2;NEDC2-ERNA2;10.70.229.17
FOX1516G6YK;NUCSA5-A;10.54.227.13
FDO1952E3VA;FR-FON-AFA-SA2D;10.210.228.17
FDO1949E2A4;FR-FON-AFA-SA5B;10.210.228.23
FDO1949E2AK;FR-FON-BAN-SA7D;10.210.228.27
FGL2013409L;INDO01A01-Pzone-NVPN01;10.55.29.163
FCH2127V097;HK-NTT-03F-WLC02;10.40.12.131
FDO223422YA;HK-NDR-GF-OSW81-1.axa.com;10.40.202.46
FDO223422W2;HK-NDR-GF-OSW81-2.axa.com;10.40.202.47
FDO2250F14R;SWZ80-T011;10.171.183.10
FOX1546GDQ7;NUCSA4-A;10.54.236.10
FCW1950F08Z;HK-OTP-35F-ASW02;10.40.202.98
FDO1952E1TY;MA-TC1-AFA-SA12;10.110.242.19
FDO1949E2C8;FR-LYO-AFA-SA31;10.210.225.234
FCW1944F0Q7;SG-SPA-GF-CSW01;10.35.24.250
FCW2037F1C2;SG-ATW-26F-ASW01;10.52.150.49
SAL1323RQYP;FR-ANG-AFA-SC01;10.210.224.66
FOC2223Q01M;FR-JAV-GIE-SA7C;10.232.200.154
FDO23200Y9D;AMER1ILF04;10.179.1.45
FDO232102BV;AMER1ILF03;10.179.1.44
FCW2013D0A3;HK-VTS-15F-DSW01;10.40.203.101
FDO2005Q0X0;FR-TE8-AFA-SASS;10.210.219.130
FTX2102W1PH;HK-NTT-03F-VPN02.hk.intraxa;10.40.249.9
FCW1931D1BF;NEDC2-ERNA2;10.70.229.17
FDO223422WH;HK-NDR-GF-ZSW92-1.axa.com;10.40.202.42
FCW2029D17R;MEDC1-SWD-1;10.66.255.246
FOC1931U0J5;NEDC1E20-ERNA1;10.70.237.1
FOC1931U1G8;NEDC2-ERNA1;10.70.237.3
FDO2127Q2BQ;FR-FEY-AFA-SA01;10.210.248.30
FOC2240R135;MEDC1-SWP-151;10.66.254.208
FOC2240R0XL;MEDC1-SWP-152;10.66.254.209
FGL1706111P;HK-NTT-03F-VG01;10.40.203.17
FOC2037X029;SG-ATW-24F-DSW01;10.52.150.40
FDO2250F16B;SWZ10-T021;10.171.7.30
FDO2250F185;SWZ10-T022;10.171.7.20
FOC2013U0FW;HK-VTS-15F-DSW01;10.40.203.101
FDO2032Q0C9;FR-VDC-SOG-SA11;10.210.219.180
SAL1318PDZ2;MA-TC1-AFA-VC01;10.110.242.1
FCZ205040PW;SE302-TM-VPN-ABA-01;10.110.80.11
FCZ205040PX;SE212-TM-VPN-ABA-01;10.110.80.12
FDO2120V1NV;FR-FON-BAN-SW6B;10.210.228.36
FDO23200BGY;AMER1ILF06;10.179.1.47
FDO23200CTQ;AMER1ILF01;10.179.1.42
FDO23191LQB;AMER1PLF01;10.179.1.32
FDO23200SDJ;AMER1ILF02;10.179.1.43
FDO23200CUG;AMER1PLF02;10.179.1.33
FDO23200VJG;AMER1ILF05;10.179.1.46
FDO23200XKT;AMER1PLF03;10.179.1.34
FDO23200SMM;AMER1ILF08;10.179.1.49
FOX1546GPBM;NUCSA4-A;10.54.236.10
FDO2038E1BB;FR-WAS-AFA-SA41;10.210.228.148
FCW2231C0U3;FR-JAV-GIE-SA4C;10.232.200.146
FOX1610G7SK;SE302-AF-SBA-01.noc.intraxa;10.208.143.130
SMG1349N01P;SE302-TO-SDM-CT2-01;10.106.194.69
FCW2213A56P;FR-JAV-GIE-SC3B;10.232.200.66
FDO1952E1W1;FR-FON-BAN-SA5D;10.210.228.24
FGL2013409H;INDO01A01-Pzone-NVPN01;10.55.29.143
FCW2006F03S;INDO01A01-Pzone-NSW01;10.55.29.141
FOC2240R15B;MEDC2-SWP-251;10.66.254.218
FOC2240R0XF;MEDC2-SWP-252;10.66.254.219
JMX2149G0Q5;FR-BRI-AFA-ASA1.noc.intraxa;10.210.172.138
FCW2223E01D;FR-JAV-GIE-SA7B;10.232.200.153
FCW2222G1FX;FR-JAV-GIE-SV5B;10.232.200.156
FCW2222G146;FR-JAV-GIE-SA2A;10.232.200.138
FOC2228U1GE;FR-BAL-AFA-SW3F;10.210.225.149
FCW2228G1G6;FR-BAL-AFA-SW0G;10.210.225.150
FCW2228L1FR;FR-BAL-AFA-SW1F;10.210.225.148
FCW2345C177;HK-OTP-36F-DSW01;10.40.202.3
FXS1728Q29N;ABS-PUN-ME-CRS;10.90.87.1
FDO1952Q0WG;FR-CT1-AFA-SA02;10.210.226.91
FDO1949E293;FR-FON-AFA-SA5B;10.210.228.23
FDO2120V1NP;FR-FON-AFA-SW4B;10.210.228.31
FDO1949E2A9;FR-LYO-AFA-SA21;10.210.225.235
FDO1949E2A0;FR-LYO-AFA-SA21;10.210.225.235
FDO1949Q051;FR-FON-AFA-SA4D;10.210.228.21
FDO2120Q1NR;FR-FON-AFA-SW1D;10.210.228.7
FOC2223Z02K;FR-JAV-GIE-SA7B;10.232.200.153
FCW2222L1E4;FR-JAV-GIE-SA0P;10.232.200.134
FCW2222L0X8;FR-JAV-GIE-SA2C;10.232.200.140
FCW2222L1EC;FR-JAV-GIE-SA0P;10.232.200.134
FCW2222G1BU;FR-JAV-GIE-SA2B;10.232.200.139
FDO1952Q0V4;FR-FON-AFA-SA4B;10.210.228.22
FDO1949E29T;FR-FON-AFA-SA2B;10.210.228.18
FTX2038Y0LH;FR-ENJ-SOC-ASA1.noc.intraxa;10.4.70.3
FOC2037U1BL;SG-ATW-01F-DSW01;10.52.150.44
FDO2120V1NH;FR-FON-AFA-SW2B;10.210.228.8
SSI15160519;APDC3R12-NDRS02;10.54.242.220
FGL164140QW;NASA15-l2l.axa-de.intraxa;10.70.245.13
FDO1952Q0XV;MA-TC1-AFA-SA42;10.110.242.31
FXS1930Q1KD;HK-OLE-42F-CSW01;10.40.202.161
FDO2005E26Z;FR-TE8-AFA-SASS;10.210.219.130
JMX2222G59K;FR-TE5-AFA-ASA1.noc.intraxa;10.210.224.19
FDO223422XA;HK-NDR-GF-ZSW91-1.axa.com;10.40.202.44
FOC2345U0LT;HK-OTP-36F-CSW01;10.40.202.1
FOX1625H201;SE302-TM-SBB-01.noc.intraxa;10.228.62.69
FDO1952E1YG;FR-FON-BAN-SA5D;10.210.228.24
FDO2038E2D6;FR-WAS-AFA-SA31;10.210.228.145
SMC12510004;SE212-TM-SAP-01;10.228.62.121
JAD212300VL;ABS-PUN-SUZLON-WING_A-ACC01;10.93.136.3
JAD212200RN;ABS-PUN-SUZLON-WING_B_ACC01;10.93.136.4
FDO2120Q1P6;FR-FON-AFA-SW1B;10.210.228.6
FCW2240A3E7;FR-JAV-GIE-SK1A;10.232.200.159
FCW2242A0J2;FR-JAV-GIE-SK1B;10.232.200.158
FGL175021SS;AXAtoIndia_TCS;10.40.11.39
FXS1929Q18A;HK-OLE-42F-CSW01;10.40.202.161
JMX2030L04Z;SEASA-SS-VPA-PP.noc.intraxa;10.106.192.57
FDO2032E0SV;FR-VDC-SOG-SA12;10.210.219.181
FDO2120E1W3;FR-FON-AFA-SW0D;10.210.228.5
FDO223421HU;HK-NDR-GF-ZSW91-2.axa.com;10.40.202.45
FDO22341J6E;HK-NDR-GF-ZSW92-2.axa.com;10.40.202.43
FDO2032E0SK;FR-VDC-SOG-SA11;10.210.219.180
FDO2120V1NG;FR-FON-AFA-SW3D;10.210.228.11
FCW2222G1FT;FR-JAV-GIE-SA6A;10.232.200.150
FCW2228L1FX;FR-BAL-AFA-SW2G;10.210.225.151
FCW2228G1G4;FR-BAL-AFA-SW3F;10.210.225.149
FOC2345U0LY;HK-OTP-36F-CSW01;10.40.202.1
FOX1512GF3A;NUCSA5-A;10.54.227.13
FOC2436L6BG;ID-ATO-21F-ASW01;10.48.1.14
FOC2436L5CA;ID-ATO-19F-TM-ASW01;10.48.1.11
FGL16062395;JPNDH1-VRTR01;10.15.114.140
FDO1952E1Y5;FR-FON-BAN-SA5D;10.210.228.24
FDO2005E26N;FR-TE8-AFA-SA61;10.210.219.132
FDO2038E1BA;FR-WAS-AFA-SA31;10.210.228.145
FCW1628L0LJ;SEWLC-SS-MUT-02;10.142.20.10
FOC1710V21C;HK-VTS-18F-DSW01;10.40.203.103
SAL1826VMAG;ABS-BEN-MFAR-CORE_SW;10.90.50.65
FOC1928R0N5;NEDC1-SWF-133;10.70.230.74
FDO1952E1Q0;FR-FON-AFA-SA5B;10.210.228.23
FDO1952E1XX;FR-FON-AFA-SA0B;10.210.228.14
FDO2032Q0CF;FR-VDC-SOG-SA13;10.210.219.182
JMX2139G0GW;FR-AND-AFA-ASA1.noc.intraxa;10.212.95.130
JAD22220KTF;ABS-BEN-JKR-2F-ACC-B-SW1;10.90.112.5
FOC2335R0DH;MEDC2-SWF-265;10.66.254.192
FDO2005E26X;FR-TE8-AFA-SA81;10.210.219.133
FOC2036X0NG;FR-VDC-SOG-SC01;10.210.219.178
FDO2120Q1P4;FR-FON-BAN-SW7D;10.210.228.39
FCW2130C0RU;HK-ASD-09F-ASW01;10.40.203.159
FCH2126V0Q4;hk-ntt-03f-ise01;10.40.12.135
JMX2243G106;FR-AJA-AFA-ASA1.noc.intraxa;10.212.95.202
FCW2037C02B;SG-ATW-26F-DSW01;10.52.150.41
FDO2134V0PQ;SWHOL-T052-WI01;10.70.253.205
FDO2134V0P5;SWHOL-T022-WI01;10.70.253.202
JAD22270F0W;ABS-BEN-JKR-2F-ACC-A-SW1;10.90.112.3
FDO2343F1R8;FR-MUL-AFA-SA01;10.210.227.130
JAF1508CADE;APDC3R09-AVDC02;10.54.242.208
FDO1952Q1VC;MA-TC1-AFA-SA22;10.110.242.21
FDO1952Q0YL;FR-LYO-AFA-SA71;10.210.225.242
FDO1952E1U3;MA-TC1-AFA-SA23;10.110.242.27
FCW2013D0CF;HK-VTS-19F-ASW01;10.40.203.110
JMX2019Z17C;FR-EMT-AFA-ASA1.noc.intraxa;10.212.82.194
JMX2019Z17D;FR-ARC-AFA-ASA1.noc.intraxa;10.212.41.182
FOC2037X1BT;SG-ATW-24F-ASW01;10.52.150.47
FDO2120V1NW;FR-FON-BAN-SW8D;10.210.228.49
FDO2128E1FU;SWHOL-T0511;10.70.253.51
JMX1535700B;SEASA-SS-VPC-PR.noc.intraxa;10.106.192.62
FOX1831G9VA;MEDC2-SWF-254;10.66.254.188
JAE204801X5;FR-CH2-AST-SC42;10.146.75.1
FDO2134E0R3;SWHOL-T012-WI01;10.70.253.201
FOC2335R0RV;MEDC2-SWF-266;10.66.254.193
JAF1508CADD;APDC3J12-AVDC01;10.54.242.204
JAF1508ASNN;APDC4R03-AVDC01;10.54.242.205
FCW1941C107;SG-SPA-GF-CSW01;10.35.24.250
FDO1723R22E;SG-MET-18F-CSW01;10.52.150.6
JMX2021Y0MY;FR-VIL-AFA-ASA-01.noc.intraxa;10.210.168.54
FCW2345C170;HK-OTP-36F-DSW01;10.40.202.3
ALD1731F3TK;FR-TE8-AFA-ASA1.noc.intraxa;10.210.40.8
FDO1952E3UU;FR-FON-AFA-SA0B;10.210.228.14
FDO1949E2AB;FR-FON-BAN-SA8D;10.210.228.29
FDO1952Q0YS;MA-TC1-AFA-SA32;10.110.242.23
FXS2025Q2P2;MEDC1-SWF-2;10.66.254.143
FDO1952E1R2;FR-FON-AFA-SA4D;10.210.228.21
SMG1107N27P;SE212-T1-SDM-EHT-V1;10.106.192.22
FOC2130L0BE;HK-ASD-09F-ASW01;10.40.203.159
FOC2130X0PB;HK-ASD-11F-ASW01;10.40.203.161
FOC2130X0M3;HK-ASD-10F-ASW01;10.40.203.160
FOC2130L0DU;HK-ASD-10F-ASW01;10.40.203.160
FCW2130D0KC;HK-ASD-11F-ASW01;10.40.203.161
FDO23200SN4;AMER1ILF07;10.179.1.48
FDO23200XKK;AMER1PLF04;10.179.1.35
FDO234802Y5;SE302-IM-LEF-127;10.69.93.39
FDO234802ZN;SE212-IM-LEF-227;10.69.93.166
FOC2013U0E1;HK-VTS-19F-DSW01;10.40.203.104
FDO2127Q0TA;SWHOL-T07A1;10.70.253.70
FDO2127E0WL;SWHOL-T07A1;10.70.253.70
FDO2131V0YY;SWHOL-T07B2;10.70.253.76
FDO2127Q0S1;SWHOL-T07B2;10.70.253.76
FDO2121V1FY;SWHOL-T10A3;10.70.253.102
FDO2131E1Q7;SWHOL-T07B4;10.70.253.78
FDO2121V1G5;SWHOL-T0332;10.70.253.37
FDO2127Q0TV;SWHOL-T07A2;10.70.253.71
FOC2335R0DF;MEDC1-SWF-166;10.66.254.183
FOC2335R0RU;MEDC1-SWF-165;10.66.254.182
FOX1616GEC9;NUCSA4-A;10.54.236.10
FCW2013C0CA;HK-VTS-13F-DSW01;10.40.203.100
JMX1524Z0BY;FR-MLY-AFA-ASA1.noc.intraxa;10.208.72.98
FOC1928R0N4;NEDC1-SWF-132;10.70.230.73
FDO1949E2AE;FR-FON-BAN-SA8D;10.210.228.29
FDO2032Q0CC;FR-VDC-SOG-SA11;10.210.219.180
FOC2130L1BD;HK-ASD-09F-ASW01;10.40.203.159
FOC2130L1BG;HK-ASD-10F-ASW01;10.40.203.160
FCW2130D0KD;HK-ASD-11F-ASW01;10.40.203.161
FDO2131E1J3;SWHOL-T0402;10.70.253.44
FDO2127E0WG;SWHOL-T07A3;10.70.253.72
FDO2127E0XQ;NEDC1E20-NCNW03;10.70.231.40
FDO2121Q1JA;SWHOL-T0Z03;10.70.253.132
FDO2121Q1J7;SWHOL-T04U1;10.70.253.48
FDO2131Q1CZ;SWHOL-T11A2;10.70.253.111
FDO2127Q0TP;SWHOL-T07B2;10.70.253.76
FDO2127E0W7;SWHOL-T07B1;10.70.253.75
FDO2131Q1G6;SWHOL-T07B4;10.70.253.78
FDO2131E1N5;SWHOL-T0401;10.70.253.40
SMC140500B4;SE302-AF-SCP-01;10.208.143.10
JMX2312G1NM;FR-BAY-AFA-ASA1.noc.intraxa;10.212.95.234
JMX2022Y2DF;FR-LYO-AFA-ASA1;10.209.16.10
FDO242908EA;NEDC1E10-NMFDR03P;10.70.230.145
FCW1928C1GH;ATTS-PUNE-ME-Flr02-AccessSW01;10.90.87.16
FDO1952E3B1;MA-CA2-AST-SA32;10.146.74.21
FDO1952Q0YY;FR-FON-AFA-SA0B;10.210.228.14
FXS2042Q40F;ABS-BEN-MFAR-6F-ACC-SW1;10.90.50.81
FXS2042Q3YK;ABS-BEN-MFAR-6F-ACC-SW2;10.90.50.82
FDO2135Q04Q;FR-CHV-AFA-SA01;10.210.248.70
JMX2242G07D;FR-TON-AFA-ASA1.noc.intraxa;10.210.168.58
JMX1535700D;SEASA-SS-VPD-PR.noc.intraxa;10.106.192.61
FGL154421VG;TIS-Tama-RT01;10.2.254.21
FDO2127Q0RX;SWHOL-T0422;10.70.253.46
FDO2127E0X2;SWHOL-T07A1;10.70.253.70
FDO2131E1P5;SWHOL-T11A3;10.70.253.112
FDO2131Q1EL;SWHOL-T11A2;10.70.253.111
FDO2127Q0U2;SWHOL-T07A2;10.70.253.71
FDO2127E0WK;SWHOL-T07A3;10.70.253.72
FDO2127Q0TB;SWHOL-T07A1;10.70.253.70
FDO1951Q05P;FR-LES-AFA-SA01;10.210.248.226
FCW2210D0VD;SWHOL-TCON;10.70.253.128
FCW2210C0S6;SWHOL-TCON;10.70.253.128
FDO1952Q0YH;MA-TC1-AFA-SA12;10.110.242.19
FGL2014401J;FR-LYO-AST-ASA1.noc.intraxa;10.146.70.101
FDO2005Q0SG;FR-TE8-AFA-SA41;10.210.219.131
FGE20340NV7;SE212-PS-SIP-11;10.69.64.11
FOC2037U1AV;SG-ATW-26F-ASW02;10.52.150.50
FOC2231T2DW;MEDC2-SWD-2;10.66.254.162
FOC2231T2E3;MEDC1-SWD-2;10.66.254.161
FCW1827L0EB;SEWLC-SS-MUT-01;10.142.20.9
FDO1949E2AG;FR-FON-AFA-SA5B;10.210.228.23
FDO1952E1U0;FR-FON-AFA-SA2D;10.210.228.17
FDO1952Q0XN;MA-TC1-AFA-SA01;10.110.242.13
FDO1952Q0XP;MA-TC1-AFA-SA41;10.110.242.24
FCW2013C0CE;HK-VTS-18F-DSW01;10.40.203.103
FDO2005E27M;FR-TE8-AFA-SA61;10.210.219.132
FDO2119Q09S;SWHOL-T10A1;10.70.253.100
FDO2127E0JX;SWHOL-T07B3;10.70.253.77
FDO2131Q1GH;SWHOL-T07B1;10.70.253.75
FDO2121E1RD;SWHOL-T04U1;10.70.253.48
FDO2121V1FX;SWHOL-T10A3;10.70.253.102
FDO2121E1RX;SWHOL-T07A2;10.70.253.71
FDO2127Q0SF;SWHOL-T07B1;10.70.253.75
FCH2134W03V;AXALife-PHIL-RWAN-WAE01;10.40.117.140
FCH2134W047;AXALife-PHIL-RWAN-WAE02;10.40.117.186
FCW2228L1FV;FR-BAL-AFA-SP1F;10.210.225.152
FCW2228C1J8;FR-BAL-AFA-SW1F;10.210.225.148
FDO242908L9;NEDC1E10-NMFDR02P;10.70.230.144
SMC1548005E;SE302-TM-SAP-04;10.228.62.115
FDO2127Q0SE;SWHOL-T07A4;10.70.253.73
FDO2125E0HS;SWHOL-T0331;10.70.253.33
